source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m
2926881089646300288,100.92411867205435,-21.131553778025935,231.1311876266355,-11.094191509578545,18.138794,2.51198,2.2347170091884982,0.1479908846688205,,,,,,,,,"06434177-2107537",15.389,14.656,14.49
2926842778536606464,101.51646421548757,-21.292448110731243,231.517745629171,-10.662079124174182,17.708736,1.6635189,0.6037808997199339,0.09833759532894464,,,,,,,,,"06460394-2117328",15.722,15.106,14.542
2926876794678891776,101.01478557663225,-21.205897100038428,231.23624575894138,-11.048967163554419,17.736443,1.0837002,0.587144613918636,0.1147297800055737,,,,,,,,,"06440355-2112213",16.498,15.639,15.954
2926839376922510208,101.64895340107965,-21.281175968860133,231.56073372931533,-10.545539069309216,17.548971,1.1804085,0.4467803879401711,0.0920294793112285,,,,,,,,,"06463576-2116521",16.074,15.556,15.56
2926842164361881856,101.63094008824437,-21.20121317789148,231.47985935051153,-10.526725069788121,16.57298,0.963109,0.04537590860961649,0.05548119671130631,100001,,2.1497,1.0825,5349.0,,,,"06463142-2112044",15.361,14.895,14.832
2926892398299464192,101.40236372449718,-21.155816195830404,231.3459059462258,-10.700374033369464,16.370468,1.5315304,0.10426355803112976,0.058208748244746325,100001,,,,4558.237,,,,"06453656-2109209",14.45,13.768,13.725
2926840583814680704,101.68933999487403,-21.30038604223598,231.59469666316687,-10.519652393259832,16.051462,0.8293133,0.25595534875550524,0.04080064948935756,100001,,,,5830.5,,,,"06464543-2118014",14.988,14.703,14.629
2926889237203647232,101.2236532775915,-21.190993074684176,231.30640656144874,-10.86621343200784,16.963966,0.97504807,0.22802751221104026,0.07749071639264549,100001,,,,5330.9937,,,,"06445367-2111277",15.69,15.682,15.345
2926885938668769280,101.26784717956728,-21.232138142851667,231.36212737627216,-10.846321941408748,16.732786,0.94648933,0.08870336596396558,0.0655944291096629,100001,,,,5341.803,,,,"06450427-2113556",15.675,15.089,15.269
2926843160794406784,101.49104491888475,-21.258530212634856,231.47626289058908,-10.669123159821366,19.986395,3.2878876,1.3131183368046184,0.5225887149974849,,,,,,,,,"06455789-2115304",16.483,15.516,15.608
2926841305369137280,101.7719565711827,-21.217990653035063,231.55220720692446,-10.414908017989644,19.341911,1.99226,0.5966057819597742,0.3659968961618296,,,,,,,,,"06470524-2113043",16.432,15.154,14.695
2926843401312541440,101.5406770191803,-21.243912010291417,231.48278739802115,-10.621036812598089,14.226065,0.8453245,1.3198800863285742,0.01976761876393207,100001,200111,0.051,0.025,5786.3335,0.92876583,0.92296135,0.93841755,"06460976-2114380",13.138,12.837,12.789
2926839342562769024,101.648060473513,-21.294253295666344,231.5724134277916,-10.551852967790268,18.297913,3.2438984,6.8349677098812265,0.15393484165497848,,,,,,,,,"06463553-2117393",14.998,14.372,14.046
2926890641651774976,101.25958015321994,-21.129286820384248,231.26395316181433,-10.80971878666919,14.986372,0.9769211,-0.2606013560202421,0.07740182498017283,110002,,,,5364.5,,,,"06450229-2107452",13.727,13.371,13.321
2926846699847313536,101.59483609371853,-21.126272178575228,231.3963086104712,-10.525315947587883,16.707329,1.133503,0.5795954342909978,0.06373289142973487,100001,200111,0.327,0.16,4960.86,0.9689165,0.9254975,1.0069333,"06462275-2107346",15.24,14.899,14.757
2926839003263555968,101.63697325944084,-21.314845250525945,231.58690541349895,-10.56995725527709,20.382227,,2.4768699493219235,0.9643816188787985,,,,,,,,,"06463285-2118533",16.332,15.954,15.635
2926892089061779328,101.44513261229199,-21.13401286904243,231.34305275531196,-10.655001350966362,14.242563,1.581459,0.21103244645789584,0.022728939981265232,100002,200111,0.7785,0.3657,4248.7466,12.840332,11.994511,13.333685,"06454682-2108025",12.195,11.516,11.396
2926842576678710528,101.65887472180691,-21.17463212376175,231.46666511428384,-10.491844367938098,19.411886,2.3842583,3.2678788572329345,0.3028938299926344,,,,,,,,,"06463812-2110287",16.686,15.701,15.577
2926842439240505728,101.69927130354394,-21.18143097427533,231.48922726026757,-10.46065295635657,14.804638,1.0523977,1.7222939182555392,0.025422406150440034,100001,200111,0.1192,0.064,5133.72,0.7185967,0.579852,0.73704255,"06464781-2110530",13.475,13.015,12.956
2926844054147570048,101.50917681413758,-21.22038644745221,231.4484271765424,-10.637623643038742,16.1346,1.1423416,0.5286187649909735,0.044427620167507335,100001,200111,0.6445,0.3177,4942.6665,1.3960963,1.3032199,1.4406664,"06460219-2113133",14.698,14.182,14.123
2926885526351832320,101.38893999707857,-21.211767888481813,231.3920635790058,-10.735451347515637,16.974861,1.2067432,0.7759228064839903,0.07280802165157724,100001,200111,0.016,0.008,4882.15,0.6669203,0.6479409,0.68773127,"06453334-2112423",15.35,14.858,14.724
2926845119299381120,101.62015626977734,-21.192471161144933,231.46746215546912,-10.532105795045847,15.015538,0.9147024,0.6481640150470214,0.028397870604925986,100001,200111,0.495,0.245,5426.7876,1.5179574,1.4043369,1.5508094,"06462884-2111327",13.828,13.489,13.431
2926840854390641152,101.67126381794989,-21.27521783848792,231.56424241190268,-10.524189516805528,16.920519,1.2525902,0.8570640386646986,0.0655612871970797,100001,200111,0.032,0.0175,4938.6665,0.60085094,0.5643224,0.65051246,"06464112-2116307",15.374,14.754,14.73
2926843401312542464,101.53898156842803,-21.24319095844769,231.48144020458867,-10.622161007293398,16.759314,1.0066376,0.18139403075766958,0.06110539880212866,100001,,,,5234.16,,,,"06460935-2114353",15.406,15.227,15.059
2926880746048882816,100.95236340831825,-21.15435001894305,231.16358258228536,-11.079943089712899,19.251549,2.7480984,2.7334692497272366,0.3407720339632614,,,,,,,,,"06434853-2109162",16.372,15.763,15.472
2926843160794404224,101.4919590406757,-21.254854052528927,231.47324411052517,-10.666790952037541,16.741606,1.0093575,0.5109557169987712,0.059583577302942184,100001,200111,0.2235,0.1055,5251.0,0.9397204,0.89652866,0.99462956,"06455806-2115175",15.465,15.08,15.106
2926842885916497408,101.51778220734808,-21.27384413210261,231.50113731722766,-10.653067215974088,16.99468,1.1543789,0.5106780169933952,0.07185676291625671,100001,200111,0.492,0.2845,4863.81,1.0140679,0.9455322,1.0514748,"06460426-2116258",15.466,15.065,15.073
2926842091341333760,101.63959986049086,-21.214218169134977,231.49532350136548,-10.524950717482941,18.196905,1.3666477,0.5760180662988563,0.1620319395649513,,,,,,,,,"06463352-2112512",16.351,15.861,15.668
2926843774968535424,101.56258358666169,-21.200651609136017,231.45177628810748,-10.584167511540171,19.12416,2.249773,1.0029852892648146,0.24906479597394088,,,,,,,,,"06461498-2112025",16.537,15.776,15.556
2926880750342907776,100.94862583241749,-21.15717408277127,231.16469051252633,-11.084295456824355,19.660435,2.7303734,1.8997827049381593,0.39700407845816427,,,,,,,,,"06434765-2109257",16.659,15.741,15.879
2926863153861576448,101.13356378944604,-21.31723370821102,231.38671202029923,-10.995709378133453,12.331277,0.7394018,2.3289417929448257,0.035235474468734464,100001,200111,0.0605,0.0302,6255.49,1.068429,0.9851587,1.1501163,"06443206-2119022",11.367,11.071,11.014
2926840102777657600,101.59663396630444,-21.284347094362584,231.54257052478897,-10.59101365638633,15.7048855,1.3370085,0.1354492551158536,0.03449506990333999,100001,,0.5287,0.3085,4814.743,,,,"06462319-2117036",13.991,13.417,13.321
2926846523747726720,101.56763360979242,-21.11480262490065,231.37477165387324,-10.54340218159552,17.816284,1.1393375,0.267140097937281,0.11486398159794364,,,,,,,,,"06461625-2106537",16.389,15.899,15.613
2926844191586553856,101.45044093277019,-21.221815383031394,231.42608481123804,-10.687801773685742,16.738924,1.5895891,1.348807186109724,0.0648777178808376,100001,200111,0.321,0.156,4492.0,0.5381491,0.45919943,0.59405285,"06454810-2113186",14.865,14.22,14.111
2926874595655510528,100.93132939777409,-21.27860476069535,231.26993467677605,-11.150180650766622,19.11569,2.2389297,0.8076322932262713,0.2772260521706513,,,,,,,,,"06434351-2116427",16.437,15.993,15.189
2926886419705023744,101.34919984712118,-21.173013957789976,231.34034460852237,-10.752564760253346,15.516204,0.9011421,0.4517017833512256,0.036980103358725,100001,200111,,,5810.5073,1.484674,1.1533914,1.8961651,"06452380-2110227",14.285,14.003,13.86
2926846631127839104,101.59479601368257,-21.12983487268407,231.39957186184608,-10.526865386841072,16.728073,0.87820625,0.16503365894995714,0.0649326970264681,100001,,,,5634.2,,,,"06462274-2107474",15.578,15.174,15.111
2926829378238051456,101.74287859856064,-21.261048327287817,231.5800847538685,-10.457766734312445,17.73023,1.1747494,0.40889070666801014,0.10833842837258542,,,,,,,,,"06465828-2115396",16.222,15.942,15.385
2926892604457907200,101.3504891840724,-21.139352425588434,231.30983742174956,-10.737195782599397,18.428385,1.2550583,0.32083171007001726,0.18913239920898,,,,,,,,,"06452411-2108217",16.735,15.948,15.835
2926845875213595264,101.613024685815,-21.143415034388752,231.41942896702088,-10.517255818509007,16.149714,1.0227175,0.6349547188212903,0.045493680387716194,100001,200111,0.301,0.1527,5333.06,0.95723677,0.7315568,1.0412163,"06462712-2108362",14.808,14.432,14.383
2926892806315290496,101.41857259540294,-21.128502431259406,231.32727060531047,-10.675090468161738,18.950136,2.0159912,1.632022604324369,0.25654735613251095,,,,,,,,,"06454044-2107426",16.603,15.738,15.185
2926840583814678784,101.6912499560201,-21.29882396480599,231.59402872155852,-10.517377437412856,16.95762,1.1243782,0.52703300577012,0.06486028439838697,100001,200111,0.3033,0.1468,4989.0,0.93591857,0.88721246,0.9677033,"06464589-2117557",15.609,15.126,15.072
2926888343850509952,101.1127482780273,-21.203699463513516,231.27355502539885,-10.965272721160948,17.863396,1.7506618,1.0039015588795392,0.131526931228197,,,,,,,,,"06442705-2112133",15.761,15.056,14.787
2926892329579999616,101.37510889076657,-21.15595430817333,231.33505447511595,-10.723447893933226,17.178822,1.0624123,0.24207707683050447,0.08325916418844388,,,,,,,,,"06453002-2109215",15.717,15.465,15.044
2926843298233330560,101.51478115681094,-21.229599037456666,231.4591710511057,-10.636807479088324,14.787756,0.9571543,,,130001,,,,5355.0,,,,"06460353-2113464",13.507,13.182,13.104
2926885629431043968,101.37822620528154,-21.197992538027048,231.37505401943412,-10.738652157017317,17.78321,1.1449146,0.3241331344373947,0.12289556417822878,,,,,,,,,"06453078-2111527",16.325,15.902,15.385
2926893218632198528,101.43568043839312,-21.091112512675203,231.29972296109335,-10.64476203060134,19.004519,1.448534,-0.2157433754297117,0.24800470081065784,,,,,,,,,"06454455-2105275",16.645,15.976,15.792
2926829485619139328,101.79429894807726,-21.242282997604875,231.5835732835492,-10.406414607869864,15.580825,1.0514631,0.39914222788588594,0.0337002720093816,100001,200111,,,5309.6953,1.9994662,1.5981175,2.185802,"06471063-2114321",14.251,13.911,13.893
2926841580247045376,101.73921485469349,-21.204584138463424,231.5266550472777,-10.436814412731055,16.574726,1.1110525,0.4675008441364449,0.05610034381572575,100001,200111,0.6835,0.3397,4908.56,1.3122888,1.2406806,1.5051364,"06465741-2112164",15.172,14.73,14.538
2926887961593814016,101.11646922963419,-21.236392759420905,231.30522555384027,-10.97595852919721,18.869602,2.011938,-0.1127722326173005,0.29256527172540336,,,,,,,,,"06442792-2114110",16.555,15.601,15.303
2926845875213596800,101.61194252186354,-21.14543782076562,231.42085409600512,-10.519029811413025,16.184547,1.1952839,0.04631702509277659,0.04637363501276587,100001,,,,4895.21,,,,"06462686-2108436",14.715,14.181,14.152
2926892535738432640,101.35960601028287,-21.149265960789755,231.32264629501768,-10.7337021627199,16.96715,0.82751656,0.1393929551083116,0.0731758476544883,100001,,,,5754.75,,,,"06452629-2108573",15.934,15.511,15.438
2926829554338615808,101.78497559136538,-21.22929330766957,231.56786060993014,-10.408743100405292,16.872292,1.2849598,0.8761950095478975,0.06518904156482364,100001,200111,0.032,0.0505,4834.21,0.6354547,0.5806972,0.68153304,"06470838-2113453",15.137,14.632,14.748
2926843298233329792,101.51596035650329,-21.22989697116129,231.45992055221112,-10.635938954641537,16.008148,1.025589,0.5058180757538264,0.04077690154255733,100001,200111,0.7677,0.3933,5141.0,1.4008241,1.3271595,1.4287555,"06460382-2113476",14.699,14.306,14.221
2926829519978880896,101.76762863560708,-21.23661711570749,231.56759492066857,-10.426491857320839,16.66781,0.9739914,0.29927121018796227,0.05715693744010621,100001,,0.857,0.422,5322.495,,,,"06470423-2114117",15.358,15.107,14.935
2926838105611588480,101.40331673180475,-21.26768003230718,231.4493844159201,-10.747035071271197,17.219765,0.97083473,0.19255145359498918,0.09359397050687354,,,,,,,,,"06453679-2116036",15.912,15.681,14.933
2926891470586542976,101.41072439454663,-21.186087791284663,231.3771685266238,-10.706163313406973,15.173154,0.97390175,0.35630458030378476,0.030832409805401702,100001,200111,,,5331.4,2.6765237,2.6041272,2.9197602,"06453857-2111098",13.901,13.581,13.597
2926841541585523712,101.74323026842615,-21.21117318605517,231.5343380465558,-10.43623341042108,18.961433,2.2599316,1.1083633196977956,0.21406994347231445,,,,,,,,,"06465835-2112397",16.369,15.752,15.532
