source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m
66715174415766144,56.82575313837368,24.118499670526287,166.62505613097244,-23.473265620522838,15.210105,1.527091,2.733327787648749,0.05214599538480763,100001,200111,0.321,0.156,4424.3574,0.56138927,0.42591465,0.59350145,"03471816+2407070",13.268,12.602,12.498
66714177983353600,56.87516901099934,24.09216366876751,166.68073567315898,-23.462327471106217,15.937934,0.79145527,0.19239391117337357,0.12113622070414559,102001,,,,5966.1,,,,"03473004+2405319",13.983,13.841,14.16
66724004868496128,57.027095383223205,24.288411320737097,166.64801303077286,-23.22396548042674,13.992278,1.1030874,0.7295732334251777,0.037743643991948274,100001,200111,,,5018.0,2.610289,2.54596,2.7220724,"03480650+2417184",12.575,12.171,12.114
66730185325197312,56.884984714349216,24.27942853299758,166.55045881888176,-23.317928474161917,17.961067,1.1702137,0.16011095548505863,0.22926696336036376,,,,,,,,,"03473239+2416455",16.198,15.142,14.799
66728265476081408,56.730555417376586,24.18780429787699,166.50415872971678,-23.480470523904344,17.22878,3.2011213,7.29109478907833,0.20318873880306434,,,,,,,,,"03465531+2411168",13.804,13.206,12.871
66736374374304896,56.9512086353094,24.353415588944507,166.54474772997446,-23.222594609578202,16.48949,2.0254831,1.9593067186197153,0.09820777896292893,100001,200111,1.524,0.755,3685.75,0.78149146,0.64911366,0.80894536,"03474828+2421128",14.091,13.383,13.144
66719297584339968,57.152949593953295,24.219969386500008,166.79037736836855,-23.196924972016,13.101861,0.83391285,0.289246511656654,0.033112500336075795,100001,200111,,,5665.2,7.4503465,6.9212537,7.870251,"03483669+2413122",11.804,11.571,11.518
66715788594818944,56.8900354303451,24.172322117009124,166.63277096762494,-23.393971609774802,19.226486,0.96580124,0.4737597696941729,0.7133072261853475,,,,,,,,,"03473356+2410206",16.398,15.465,15.539
66719228864863360,57.166360691645494,24.211719027719855,166.8062500042569,-23.19473159158738,15.525212,2.5934458,7.0997580955446535,0.07298435586971445,100001,,0.662,0.358,3915.97,,,,"03483990+2412430",12.717,12.054,11.836
66710845088732160,56.943375730038646,24.050488147017138,166.76149548007345,-23.451087040843248,14.7757015,2.2833033,7.72436294306987,0.05732240938776896,100001,,0.0777,0.0432,3981.2532,,,,"03474638+2403025",12.195,11.564,11.344
66715513716911488,56.826743117738815,24.15803139201272,166.5967591839747,-23.443437022134738,18.01163,1.2844486,1.4106798312165933,0.21204934835876116,,,,,,,,,"03471842+2409290",15.593,14.74,14.618
66715582436388096,56.82235656279695,24.157367983434515,166.59402119555887,-23.446622830471778,19.1503,0.907217,0.5550305044551632,0.4711231417415126,,,,,,,,,"03471736+2409267",16.448,15.706,15.293
66744650773707904,56.971740347314785,24.602169067647665,166.37759819233702,-23.026131580153283,18.30854,1.7602444,0.9723103970613535,0.21652571034046803,,,,,,,,,"03475319+2436079",16.122,15.322,15.292
66727303403406208,56.79341366216843,24.16123568072679,166.56989868842444,-23.46154321492421,15.139462,1.2012997,1.0138676375649318,0.05816812747942993,100002,200111,0.9997,0.494,4834.7124,1.2194122,1.1856816,1.2396272,"03471040+2409408",13.638,13.104,13.037
66715071336552320,56.82505887499215,24.100602876234575,166.63768977222637,-23.4869193867066,14.372702,1.2241955,2.3821223730502323,0.04115344228865031,100001,200111,0.193,0.11,4870.0,0.7247617,0.6957031,0.73920953,"03471797+2406028",12.805,12.251,12.206
66737473885931520,56.90363970616241,24.383568982006558,166.48779478666265,-23.22949518868958,14.582746,1.0567541,0.5788234832090535,0.043758502989349864,100001,200111,,,5041.165,2.477848,2.280336,2.6341715,"03473687+2423009",13.21,12.881,12.789
66715174415766656,56.82045595215171,24.114471171413545,166.62411861741253,-23.479499795790968,17.381456,1.2007103,0.8031341316965561,0.14507498739893682,,,,,,,,,"03471690+2406522",15.604,14.946,14.921
66727848862987520,56.8481781327473,24.20478159178681,166.5781999146205,-23.39570952542836,19.923315,1.1810112,3.281550764832731,0.8064463620515705,,,,,,,,,"03472355+2412165",16.756,15.559,16.644
