index,Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs
1095,Platais_8        ,136.718,-58.685,-82.87900000000002,-7.576,2.716,211,-15.596,1.26,14.474,1.164,7.415,0.278,,7.48,0.14,5.64,134.0,16.0,-132.0,-17.0,8324.0,Cl Platais 8                   ,136.7181,-58.6851
1096,Platais_9        ,139.241,-43.862,-92.63799999999998,3.707,1.595,125,-24.705,1.086,13.333,0.583,5.463,0.239,,7.7,0.0,6.2,173.0,-7.0,-173.0,11.0,8349.0,Cl Platais 9                   ,139.2411,-43.8621
1097,Pozzo_1          ,122.374,-47.335,-97.202,-7.691,0.625,341,-6.516,0.27,9.53,0.391,2.853,0.102,,6.98,0.07,7.6,330.0,-41.0,-325.0,-44.0,8387.0,Name Pozzo 1                   ,122.374,-47.335
1098,RSG_1            ,75.508,37.475,167.817,-2.699,0.621,98,0.77,0.34,-12.33,0.316,3.001,0.087,,8.09,0.53,7.71,347.0,-339.0,73.0,-16.0,8680.0,RSG 1                          ,75.508,37.4751
1099,RSG_5            ,303.482,45.574,81.719,6.098,0.867,162,3.573,0.277,1.605,0.308,2.945,0.102,,7.54,0.01,7.58,328.0,47.0,323.0,34.0,8299.0,RSG 5                          ,303.482,45.574
1100,RSG_7            ,344.19,59.363,108.781,-0.32,0.826,124,4.927,0.428,-1.865,0.699,2.337,0.095,,7.59,0.57,8.1,416.0,-133.0,393.0,-2.0,8483.0,RSG 7                          ,344.19,59.363
1101,RSG_8            ,344.983,59.371,109.15,-0.484,1.015,170,5.343,0.483,-1.654,0.539,2.21,0.204,,7.43,0.53,8.17,431.0,-141.0,407.0,-3.0,8491.0,RSG 8                          ,344.983,59.371
1104,Roslund_3        ,299.695,20.509,58.843,-4.685,0.081,104,-0.386,0.086,-5.108,0.092,0.585,0.045,,7.73,0.77,11.04,1616.0,833.0,1378.0,-131.0,7632.0,Cl Roslund 3                   ,299.695,20.509
1106,Roslund_5        ,302.641,33.751,71.451,0.166,0.378,151,1.981,0.216,-1.164,0.147,1.831,0.06,,7.99,0.35,8.69,546.0,173.0,517.0,1.0,8182.0,Cl Roslund 5                   ,302.641,33.751
1107,Roslund_6        ,307.185,39.798,78.495,0.585,1.004,247,5.875,0.34,2.155,0.274,2.809,0.076,,7.95,0.0,7.88,375.0,74.0,368.0,3.0,8273.0,Cl Roslund 6                   ,307.185,39.798
1108,Roslund_7        ,313.196,37.847,79.817,-4.312,0.46,128,1.729,0.087,-0.36,0.105,0.78,0.037,,8.1,0.49,10.39,1198.0,211.0,1176.0,-90.0,8213.0,Cl Roslund 7                   ,313.196,37.847
